id,is_rental,is_commercial,rent,price,num_bedrooms,area,x,y,num_rooms,num_bathrooms,pets,ownership_id,is_new_development,common_charges,is_furnished,financing_allowed,commission
898070,0,0,,579000.0,0.0,525.0,-73.98054660000003,40.7392129,1.0,1.0,1.0,4.0,0,,0,80.0,2.5
39488,1,0,2600.0,,1.0,700.0,-73.9852939,40.7668267,3.0,1.0,4.0,5.0,0,,0,100.0,
39812,1,0,1500.0,,,,-73.950192,40.774088,1.0,1.0,4.0,12.0,0,,0,100.0,
815204,1,0,4299.0,,1.0,865.0,-73.9794998168945,40.76426315307621,3.0,2.0,4.0,15.0,0,,1,100.0,
492122,0,1,,,,,-74.0059728,40.7127753,,,5.0,8.0,0,,0,,
802773,0,0,,4250000.0,3.0,1953.0,-73.9993877,40.7409342,,2.5,1.0,15.0,0,1188.0,0,90.0,
860150,0,0,,749000.0,1.0,,-73.94815169999998,40.773565399999995,4.0,1.0,1.0,3.0,0,,0,100.0,
833986,1,0,24000.0,,4.0,3500.0,-74.00490230000003,40.7251196,10.0,3.0,6.0,15.0,0,,1,100.0,
857443,0,0,,2000000.0,2.0,1417.0,-74.00706481933591,40.7048683166504,3.0,2.5,1.0,15.0,0,1809.0,0,90.0,3.0
817705,0,0,,520000.0,,500.0,-73.99272710000002,40.7312439,,1.0,1.0,3.0,0,,0,70.0,
838638,0,0,,999000.0,1.0,885.0,-74.0050354003906,40.720676422119105,4.0,1.0,1.0,3.0,0,,0,80.0,2.5
34827,1,0,6000.0,,2.0,1000.0,-73.99212299999999,40.758095000000004,4.0,2.0,5.0,13.0,0,,0,100.0,
451358,1,1,8500.0,,,725.0,-74.00350209999998,40.72026779999999,,,5.0,10.0,0,,0,100.0,
676664,0,0,,9950000.0,5.0,8240.0,-73.9698791503906,40.7873764038086,,10.0,1.0,20.0,0,,0,,2.0
48672,1,1,18000.0,,,1450.0,-74.00350209999998,40.72026779999999,,,5.0,10.0,0,,0,100.0,
711559,1,0,2595.0,,0.0,,-73.97845749999998,40.7485471,2.5,1.0,4.0,14.0,0,,0,100.0,
