is_rental,is_commercial,rent,price,num_bedrooms,area,num_rooms,num_bathrooms,pets,is_new_development,common_charges,is_furnished
0,0,,1326000.0,1.0,729.0,3.5,1.5,5.0,0,975.0,0
0,0,,965000.0,1.0,775.0,3.0,1.0,1.0,0,853.0,0
1,0,5766.0,,2.0,1100.0,4.0,2.0,1.0,0,,0
0,0,,350000.0,,550.0,2.0,1.0,1.0,0,,0
0,0,,719000.0,1.0,694.0,3.5,1.0,5.0,0,776.0,0
0,0,,1600000.0,2.0,,4.0,1.0,5.0,0,640.0,0
0,0,,730000.0,1.0,,3.0,1.0,1.0,0,,0
0,0,,749000.0,1.0,,,1.0,1.0,0,,0
0,0,,1050000.0,1.0,,3.0,2.0,5.0,0,,0
0,0,,1900000.0,3.0,2600.0,,2.5,1.0,0,,0
1,0,3595.0,,1.0,748.0,3.0,1.0,1.0,0,,0
0,0,,4000000.0,2.0,1200.0,5.0,2.5,5.0,0,1056.0,0
0,0,,4820000.0,3.0,1617.0,,3.0,1.0,0,2524.0,0
1,0,59000.0,,4.0,3466.0,6.0,4.5,6.0,0,,0
1,0,5425.0,,2.0,1250.0,4.0,2.0,3.0,0,,0
1,0,3600.0,,1.0,770.0,3.0,1.0,6.0,0,,0
1,0,4250.0,,1.0,1000.0,3.0,1.0,1.0,0,,0
1,0,9900.0,,,850.0,6.0,2.0,1.0,0,,0
0,0,,750000.0,1.0,658.0,,1.0,1.0,0,461.0,0
1,0,3950.0,,1.0,717.0,3.0,1.0,1.0,0,,0
1,0,2600.0,,1.0,700.0,3.0,1.0,4.0,0,,0
0,0,,1299999.0,2.0,1300.0,5.0,2.0,1.0,0,,0
1,0,14000.0,,3.0,1810.0,7.0,3.0,4.0,0,,1
0,1,,99000.0,,2600.0,,,5.0,0,,0
0,0,,3495000.0,3.0,2095.0,5.0,4.0,1.0,0,2578.0,0
1,1,18500.0,,,1920.0,2.0,,,0,,0
1,0,3250.0,,1.0,,3.0,1.0,4.0,0,,0
0,0,,30000.0,,,,,,1,,0
0,0,,4500000.0,3.0,2460.0,6.0,4.0,1.0,0,2800.0,0
1,0,12000.0,,2.0,1800.0,,2.0,4.0,0,,0
0,0,,799000.0,2.0,,4.0,1.0,1.0,0,,0
0,0,,2350000.0,2.0,1221.0,4.0,2.5,1.0,0,1352.0,0
0,0,,2500000.0,4.0,2100.0,5.0,4.0,1.0,0,2683.0,0
0,0,,1865000.0,1.5,1168.0,4.0,2.0,1.0,0,1497.0,0
0,0,,3995000.0,4.0,2400.0,11.0,4.0,1.0,0,2310.0,0
0,0,,12950000.0,5.0,6047.0,15.0,6.5,1.0,0,,0
1,1,15000.0,,,3500.0,,,,0,,0
0,0,,5350000.0,3.0,,7.0,3.5,1.0,0,,0
1,0,28500.0,,3.0,4000.0,6.0,2.5,6.0,0,,0
0,0,,940000.0,0.0,584.0,2.0,1.0,1.0,0,704.0,0
1,1,16000.0,,,1500.0,,,5.0,0,,0
1,0,12495.0,,2.0,1624.0,5.0,2.5,1.0,0,,0
1,0,14000.0,,3.0,2227.0,,3.5,1.0,0,,0
1,0,3200.0,,2.0,,3.0,1.0,1.0,0,,0
0,0,,4888000.0,4.0,2505.0,6.0,4.5,1.0,0,2359.0,0
0,0,,28000000.0,4.0,7693.0,8.0,7.0,1.0,0,12957.0,0
0,0,,679000.0,1.0,850.0,3.0,1.0,1.0,0,,0
0,0,,425000.0,0.0,,,1.0,1.0,0,,0
0,0,,1499500.0,1.0,1136.0,4.0,1.5,1.0,0,1276.0,0
1,0,3600.0,,1.0,798.0,3.0,1.0,4.0,0,,0
0,0,,879000.0,1.0,750.0,3.5,1.0,4.0,0,767.0,0
1,0,10500.0,,3.0,2200.0,5.0,1.0,1.0,0,,0
0,0,,965000.0,1.0,,,1.0,5.0,0,,0
0,0,,1395000.0,1.0,798.0,3.0,1.0,1.0,0,871.0,0
0,0,,7999000.0,3.0,2895.0,8.0,3.5,1.0,0,1361.0,0
1,1,12000.0,,,11002600.0,,2.0,5.0,0,,0
0,0,,2199000.0,2.0,1275.0,5.0,2.0,1.0,0,1510.0,0
1,0,3500.0,,0.0,550.0,1.0,1.0,5.0,0,,0
0,0,,1750000.0,2.0,1263.0,4.0,2.0,1.0,0,1616.0,0
0,0,,1275000.0,1.0,611.0,,1.0,1.0,0,584.0,0
0,0,,995000.0,1.0,,3.0,1.5,1.0,0,,0
0,0,,13995000.0,5.0,3818.0,,4.5,1.0,0,4146.0,0
1,0,6500.0,,2.0,,4.0,2.0,1.0,0,,0
1,0,6000.0,,3.0,1365.0,5.0,2.0,1.0,0,,0
0,0,,3450000.0,3.0,1706.0,5.0,2.5,1.0,0,1842.0,0
1,1,8850.0,,,1800.0,5.0,,5.0,0,,0
1,1,,,,,,,,0,,0
1,0,4650.0,,3.0,1150.0,5.0,1.0,1.0,0,,0
1,0,5975.0,,1.0,923.0,3.5,1.5,6.0,0,,0
0,0,,1999000.0,3.0,1757.0,6.0,2.5,1.0,0,2489.0,0
1,0,7000.0,,2.0,,4.0,2.0,6.0,0,,1
0,0,,8750000.0,4.0,4098.0,,4.5,1.0,0,5381.0,0
1,0,4300.0,,1.0,,4.0,1.0,4.0,0,,1
1,0,2500.0,,1.0,900.0,4.0,1.0,1.0,0,,0
1,0,3000.0,,1.0,,3.0,1.0,5.0,0,,1
0,0,,2495000.0,2.0,1512.0,4.0,2.5,1.0,0,1928.0,0
0,0,,650000.0,1.0,,3.0,1.0,1.0,0,,0
1,0,7500.0,,2.0,,5.0,2.5,1.0,0,,0
1,0,2795.0,,1.0,,,1.0,6.0,0,,1
0,0,,2100000.0,1.5,1106.0,4.0,2.0,1.0,0,1813.0,0
1,0,3500.0,,2.0,912.0,4.0,2.0,6.0,0,,0
1,0,4500.0,,2.0,783.0,4.0,1.0,1.0,0,,1
0,0,,1375000.0,2.0,1100.0,4.0,2.0,1.0,0,721.0,0
0,0,,5000000.0,,,,,1.0,1,,0
1,0,6200.0,,2.0,1660.0,4.0,1.0,5.0,0,,0
0,0,,5995000.0,3.0,2702.0,6.0,3.5,1.0,0,3390.0,0
1,1,,45000.0,,200.0,,,5.0,0,,0
1,0,3325.0,,1.0,,,1.0,6.0,0,,0
0,0,,7995000.0,2.3,3750.0,7.0,3.5,1.0,0,7730.0,0
1,0,5600.0,,2.0,1090.0,4.0,2.0,1.0,0,,0
0,0,,739000.0,0.5,,2.5,1.0,6.0,0,518.0,0
1,0,5500.0,,2.0,,4.0,2.0,1.0,0,,0
1,0,2775.0,,1.0,,2.0,1.0,1.0,0,,0
1,0,6500.0,,1.0,1000.0,,2.0,6.0,0,,1
0,0,,3788888.0,3.0,1844.0,,3.5,1.0,0,2046.0,0
1,0,6400.0,,2.0,,6.0,2.0,1.0,0,,0
1,0,2900.0,,,500.0,1.0,1.0,5.0,0,,0
1,0,1800.0,,1.0,,1.0,1.0,4.0,0,,1
0,0,,1145000.0,1.0,1356.0,4.0,1.5,1.0,0,1418.0,0
0,0,,2150000.0,2.0,1388.0,,2.5,1.0,0,1626.0,0
0,0,,1988000.0,1.0,845.0,,1.5,1.0,0,1173.0,0
0,0,,6495000.0,3.0,2205.0,6.0,3.0,1.0,0,3329.0,0
1,0,8000.0,,2.0,1800.0,,2.0,1.0,0,,0
0,0,,795000.0,2.0,1010.0,5.0,2.0,1.0,0,923.0,0
0,0,,875000.0,1.0,,3.5,1.0,1.0,0,,0
0,1,,6900000.0,7.0,5500.0,,5.5,1.0,0,1.0,0
0,1,,6900000.0,7.0,5500.0,,5.5,1.0,0,1.0,0
0,0,,8995000.0,4.0,5644.0,9.0,4.5,1.0,0,2555.0,0
1,0,32000.0,,5.0,5095.0,7.0,5.5,1.0,0,,0
0,0,,2250000.0,2.0,,,1.5,1.0,1,,0
0,0,,5300000.0,4.0,2753.0,9.0,3.5,1.0,0,2221.0,0
1,0,3300.0,,1.0,625.0,3.0,1.0,5.0,0,,0
0,0,,825000.0,1.0,900.0,3.0,1.0,5.0,0,,0
1,1,14600.0,,,775.0,,,5.0,0,,0
1,1,10000.0,,,800.0,,,5.0,0,,0
1,0,2650.0,,1.0,800.0,3.0,1.0,1.0,0,,0
1,0,2950.0,,1.0,,3.0,1.0,1.0,0,,0
0,0,,560000.0,0.0,534.0,2.0,1.0,1.0,0,346.0,0
0,0,,2900000.0,2.0,1490.0,,2.5,1.0,0,916.0,0
0,0,,5400000.0,3.5,3250.0,7.0,4.5,1.0,0,,0
1,0,7950.0,,1.0,1129.0,3.0,2.0,1.0,0,,0
1,0,3500.0,,1.0,,3.0,1.0,1.0,0,,0
1,1,50000.0,,,3600.0,,,5.0,0,,0
1,0,3950.0,,1.0,,,1.0,1.0,0,,0
1,0,20000.0,,3.5,3250.0,,4.5,6.0,0,,0
0,0,,2500000.0,4.0,2385.0,6.0,4.5,1.0,0,2348.0,0
0,0,,,3.0,1773.0,5.0,3.5,1.0,0,2192.0,0
0,0,,3750000.0,3.0,1953.0,,2.5,5.0,0,1188.0,0
0,0,,2595000.0,2.0,1400.0,5.0,2.5,1.0,0,2020.0,0
0,0,,1995000.0,1.0,1218.0,5.0,1.5,1.0,0,776.0,0
1,0,5500.0,,2.0,,,1.5,1.0,0,,0
1,0,2500.0,,,,1.0,1.0,4.0,0,,0
0,0,,2995000.0,2.0,1481.0,4.0,2.5,1.0,0,2376.0,0
1,0,3942.0,,1.0,,3.0,1.0,6.0,0,,1
1,0,3795.0,,1.0,751.0,3.0,1.0,1.0,0,,0
0,0,,6495000.0,3.0,2560.0,,3.5,1.0,0,1619.0,0
