0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
788955,902179,860149,860150,822550,817968,833277,829877,751179,755545,793863,745474,793333,823135,857442,766601,744093,770590,809434,886259,884522,871873,903165,859077,838638,864019,879576,47487,890188,897294,730844,774376,841932,808995,873516,776905,252706,825344,837441,847360,817983,866899,802364,859131,896237,774001,793816,579187,889242,785330,743413,859212,829491,851475,871168,803896,809430,840324,755390,810680,804963,479459,817705,847411,847747,574986,836041,817995,858527,844080,833248,832418,793352,835141,810039,68254,885661,414123,475554,901921,757712,797436,806159,829196,752238,892727,715050,838468,753114,843360,805492,877093,818037,62334,742664,706654,846623,375581,765792,895092
815757,808494,596782,737072,582563,901407,869875,818826,799953,792798,907147,43098,887351,908364,908363,728041,841289,899354,904752,68786,68785,895093,903521,884031,30334,792815,824037,651541,792816,30299,831715,792853,30301,30300,458396,696816,851487,701032,268204,845689,578384,773092,892656,889265,840721,887463,800108,792811,512158,895091,896094,795324,30302,909547,792809,30923,908332,792810,24058,73662,866803,899351,899332,870861,39812,892404,841369,462657,847727,58087,887405,611705,873608,884014,69878,828762,828726,754277,794244,34833,39488,39487,52468,800665,71720,651542,30303,909455,792851,908865,824030,749743,876216,57979,614994,806242,396452,395109,764622,756720
845689,773092,792853,841289,728041,908363,908364,792811,43098,896094,895091,887351,795324,792810,792809,841369,907147,582563,847727,870861,737072,901407,869875,884014,596782,458396,512158,889265,808494,701032,268204,887463,800108,840721,696816,851487,892656,899332,30300,899351,73662,30301,831715,30299,792816,651541,887405,824037,792815,30334,884031,903521,578384,895093,68785,68786,866803,30302,899354,904752,909547,908332,815757,58087,792851,792798,799953,818826,824030,857472,876216,30923,24058,30303,34833,754277,756720,611705,462657,828726,828762,908865,69878,806242,906529,873608,651542,71720,773375,892404,800665,52468,39488,39487,39812,794244,41795,749743,57979,909455
609860,800683,812800,492122,806285,804355,403068,811516,652411,587837,587838,70786,55816,70267,826210,785517,462728,822281,838736,847753,61810,810000,758731,897320,751981,766617,836961,860116,876266,901653,67884,751101,794804,855699,840324,810680,803896,44047,832418,833248,844080,829196,806159,375581,847411,895092,835141,836041,843360,885661,817995,757712,715050,838468,753114,574986,810039,817705,846623,706654,793447,858527,882272,809430,871168,479459,818037,877093,797436,901921,785330,820217,574961,805492,574985,840989,765792,574987,857443,900139,414123,475554,799367,829491,523799,522421,68254,860921,766601,873516,851475,864019,838638,793816,579187,866899,802364,859212,896237,817983
892656,840721,887463,800108,578384,851487,889265,903521,884031,30334,792815,824037,895093,651541,68786,68785,792816,30299,831715,904752,899354,30301,30300,696816,268204,701032,799953,792798,818826,512158,458396,907147,901407,869875,69878,737072,582563,887351,596782,873608,808494,43098,908364,908363,728041,845689,841289,792853,792811,30923,773092,24058,792809,815757,792810,896094,895091,795324,841369,909547,30302,870861,847727,884014,908865,71720,651542,800665,52468,39487,39488,794244,828726,828762,58087,611705,908332,711559,754277,34833,73662,899351,899332,30303,462657,369895,369894,764622,900151,658390,889352,56704,56705,892404,39812,866803,887405,887479,756720,792851
860921,794804,901653,751981,70267,771934,829962,800673,800535,834234,771924,819499,825164,808253,756316,841981,858528,55816,846822,865502,865501,800661,863914,759853,757605,694367,883283,842976,70786,795210,627941,712629,605344,779137,715047,779615,765017,808936,838741,826210,761844,773302,894844,838786,838883,831493,462728,892722,901844,843125,790211,838467,878538,818275,820121,43645,858529,841097,71999,830762,802773,838474,714220,880203,765525,898068,763546,575000,574988,785517,862966,799007,676759,523799,522421,860125,882272,765792,895092,829196,885661,797436,806159,901921,810039,846623,706654,414123,475554,818037,843360,715050,838468,753114,375581,877093,793447,805492,817995,835141
792851,824030,887405,857472,899332,899351,73662,876216,866803,908332,896094,847727,795324,895091,792810,841369,792809,884014,792811,773092,41795,906529,870861,792853,845689,841289,728041,908364,908363,43098,887351,773375,629881,907147,582563,901407,869875,58087,737072,30302,909547,596782,806242,808494,458396,756720,30303,815757,34833,754277,512158,889265,800108,887463,840721,892656,268204,701032,851487,696816,578384,30300,611705,30301,831715,30299,792816,651541,824037,792815,30334,884031,903521,895093,68785,68786,904752,899354,875835,792798,799953,462657,562614,818826,749743,57979,828726,864030,828762,38204,791229,30923,34820,34827,34825,34826,24058,805041,73266,892404
869944,64483,64484,747125,451358,821477,855712,745155,745164,506864,506865,653746,887423,403290,552576,653269,873526,458622,895300,568593,60380,866893,48672,871033,661899,63414,780510,400355,678874,798356,30303,34833,754277,756720,864030,34820,34825,34826,34827,791229,30302,38204,909547,611705,805041,58087,462657,828726,828762,66432,873633,908865,395109,396452,806242,651542,71720,840633,892404,800665,52468,623128,708233,39488,39487,873869,70266,39812,794244,595358,855683,863109,30923,884527,614994,888808,73618,49327,841098,889421,887424,24058,869732,562614,458396,755195,888550,534081,843274,577455,877344,908244,744206,909349,845689,773092,792853,841289,728041,908363
890188,897294,47487,871873,879576,859077,903165,751179,755545,793863,808995,745474,823135,793333,776905,857442,744093,770590,774376,809434,886259,884522,860149,860150,825344,788955,829877,730844,833277,743413,822550,847360,866899,802364,902179,817968,252706,774001,873516,766601,896237,838638,793816,579187,859131,864019,817983,889242,851475,837441,785330,803896,841932,755390,829491,859212,809430,871168,840324,810680,793352,804963,68254,892727,752238,479459,847411,742664,858527,835141,817995,832418,62334,833248,844080,869861,836041,574986,817705,822505,847747,757712,857443,900139,805492,898070,877093,414123,475554,885661,375581,797436,843360,829196,818037,806159,901921,810039,715050,838468
888808,73618,49327,889421,884527,887424,863109,869732,595358,708233,623128,70266,908244,651542,71720,800665,877344,52468,744206,39488,39487,794244,843274,534081,908865,577455,755195,828726,828762,395109,396452,547999,792941,614994,805041,888550,855701,66432,873633,34820,34827,34826,34825,30923,711559,791229,611705,462657,24058,864030,892404,39812,855683,754277,34833,38204,30303,840633,873869,756720,30302,909547,841098,458396,58087,562614,544270,73289,894458,806242,559440,813865,252693,71577,72215,72216,559451,857043,815204,52727,855703,561788,861741,884031,903521,30334,792815,824037,651541,792816,30299,895093,68786,68785,831715,30301,30300,904752,899354,851487
